Timestamp,Voltage (V),Current (A),Power (W),Energy Today (kWh)
2025-08-04 01:02:54,239.5,0.0,0.0,0.025
2025-08-04 01:02:55,239.5,0.0,0.0,0.025
2025-08-04 01:02:56,239.5,0.0,0.0,0.025
2025-08-04 01:02:57,239.5,0.0,0.0,0.025
2025-08-04 01:03:45,239.5,0.0,0.0,0.025
2025-08-04 01:03:45,239.5,0.0,0.0,0.025
2025-08-04 01:04:24,239.5,0.0,0.0,0.025
2025-08-04 01:04:25,239.5,0.0,0.0,0.025
2025-08-04 01:04:26,239.5,0.0,0.0,0.025
2025-08-04 01:04:27,239.5,0.0,0.0,0.025
2025-08-04 01:04:28,239.5,0.0,0.0,0.025
2025-08-04 01:04:29,239.5,0.0,0.0,0.025
2025-08-04 01:04:31,239.5,0.0,0.0,0.025
2025-08-04 01:04:31,239.5,0.0,0.0,0.025
2025-08-04 01:04:32,239.5,0.0,0.0,0.025
2025-08-04 01:04:33,239.5,0.0,0.0,0.025
2025-08-04 01:04:34,239.5,0.0,0.0,0.025
2025-08-04 01:04:35,239.5,0.0,0.0,0.025
2025-08-04 01:04:36,239.5,0.0,0.0,0.025
2025-08-04 01:04:37,239.5,0.0,0.0,0.025
2025-08-04 01:04:38,239.5,0.0,0.0,0.025
2025-08-04 01:04:39,239.5,0.0,0.0,0.025
2025-08-04 01:04:40,239.5,0.0,0.0,0.025
2025-08-04 01:04:41,239.5,0.0,0.0,0.025
2025-08-04 01:04:42,239.5,0.0,0.0,0.025
2025-08-04 01:04:45,239.5,0.0,0.0,0.025
2025-08-04 01:04:45,239.5,0.0,0.0,0.025
2025-08-04 01:04:45,239.5,0.0,0.0,0.025
2025-08-04 01:04:45,239.5,0.0,0.0,0.025
2025-08-04 01:04:46,239.5,0.0,0.0,0.025
2025-08-04 01:04:47,239.5,0.0,0.0,0.025
2025-08-04 01:04:48,239.5,0.0,0.0,0.025
2025-08-04 01:04:49,239.5,0.0,0.0,0.025
2025-08-04 01:04:50,239.5,0.0,0.0,0.025
2025-08-04 01:04:51,239.5,0.0,0.0,0.025
2025-08-04 01:04:52,239.5,0.0,0.0,0.025
2025-08-04 01:04:53,239.5,0.0,0.0,0.025
2025-08-04 01:04:54,239.5,0.0,0.0,0.025
2025-08-04 01:04:55,239.5,0.0,0.0,0.025
2025-08-04 01:04:56,239.5,0.0,0.0,0.025
2025-08-04 01:04:57,239.5,0.0,0.0,0.025
2025-08-04 01:04:58,239.5,0.0,0.0,0.025
2025-08-04 01:04:59,239.5,0.0,0.0,0.025
2025-08-04 01:05:00,239.5,0.0,0.0,0.025
2025-08-04 01:05:01,239.5,0.0,0.0,0.025
2025-08-04 01:05:02,239.5,0.0,0.0,0.025
2025-08-04 01:05:03,239.5,0.0,0.0,0.025
2025-08-04 01:05:04,239.5,0.0,0.0,0.025
2025-08-04 01:05:05,239.5,0.0,0.0,0.025
2025-08-04 01:05:06,239.5,0.0,0.0,0.025
2025-08-04 01:05:07,239.5,0.0,0.0,0.025
2025-08-04 01:05:08,239.5,0.0,0.0,0.025
2025-08-04 01:05:09,239.5,0.0,0.0,0.025
2025-08-04 01:05:10,239.5,0.0,0.0,0.025
2025-08-04 01:05:11,239.5,0.0,0.0,0.025
2025-08-04 01:05:13,239.5,0.0,0.0,0.025
2025-08-04 01:05:14,239.5,0.0,0.0,0.025
2025-08-04 01:05:14,239.5,0.0,0.0,0.025
2025-08-04 01:05:15,239.5,0.0,0.0,0.025
2025-08-04 01:05:17,239.5,0.0,0.0,0.025
2025-08-04 01:05:18,239.5,0.0,0.0,0.025
2025-08-04 01:05:19,239.5,0.0,0.0,0.025
2025-08-04 01:05:20,239.5,0.0,0.0,0.025
2025-08-04 01:05:23,239.5,0.0,0.0,0.025
2025-08-04 01:05:23,239.5,0.0,0.0,0.025
2025-08-04 01:05:23,239.5,0.0,0.0,0.025
2025-08-04 01:05:24,239.5,0.0,0.0,0.025
2025-08-04 01:05:25,239.5,0.0,0.0,0.025
2025-08-04 01:05:26,239.5,0.0,0.0,0.025
2025-08-04 01:05:27,239.5,0.0,0.0,0.025
2025-08-04 01:05:28,239.5,0.0,0.0,0.025
2025-08-04 01:05:29,239.5,0.0,0.0,0.025
2025-08-04 01:05:30,239.5,0.0,0.0,0.025
2025-08-04 01:05:31,239.5,0.0,0.0,0.025
2025-08-04 01:05:32,239.5,0.0,0.0,0.025
2025-08-04 01:05:33,239.5,0.0,0.0,0.025
2025-08-04 01:05:34,239.5,0.0,0.0,0.025
2025-08-04 01:05:35,239.5,0.0,0.0,0.025
2025-08-04 01:05:36,239.5,0.0,0.0,0.025
2025-08-04 01:05:37,239.5,0.0,0.0,0.025
2025-08-04 01:05:38,239.5,0.0,0.0,0.025
2025-08-04 01:05:41,239.5,0.0,0.0,0.025
2025-08-04 01:05:41,239.5,0.0,0.0,0.025
2025-08-04 01:05:41,239.5,0.0,0.0,0.025
2025-08-04 01:05:42,239.5,0.0,0.0,0.025
2025-08-04 01:05:43,239.5,0.0,0.0,0.025
2025-08-04 01:05:44,239.5,0.0,0.0,0.025
2025-08-04 01:05:45,239.5,0.0,0.0,0.025
2025-08-04 01:05:45,239.5,0.0,0.0,0.025
2025-08-04 01:05:46,239.5,0.0,0.0,0.025
2025-08-04 01:05:47,239.5,0.0,0.0,0.025
2025-08-04 01:05:48,239.5,0.0,0.0,0.025
2025-08-04 01:05:49,239.5,0.0,0.0,0.025
2025-08-04 01:05:50,239.5,0.0,0.0,0.025
2025-08-04 01:05:51,239.5,0.0,0.0,0.025
2025-08-04 01:05:52,239.5,0.0,0.0,0.025
2025-08-04 01:05:53,239.5,0.0,0.0,0.025
2025-08-04 01:05:54,239.5,0.0,0.0,0.025
2025-08-04 01:05:55,239.5,0.0,0.0,0.025
2025-08-04 01:05:56,239.5,0.0,0.0,0.025
2025-08-04 01:05:57,239.5,0.0,0.0,0.025
2025-08-04 01:05:58,239.5,0.0,0.0,0.025
2025-08-04 01:05:59,239.5,0.0,0.0,0.025
2025-08-04 01:06:00,239.5,0.0,0.0,0.025
2025-08-04 01:06:01,239.5,0.0,0.0,0.025
2025-08-04 01:06:02,239.5,0.0,0.0,0.025
2025-08-04 01:06:03,239.5,0.0,0.0,0.025
2025-08-04 01:06:04,239.5,0.0,0.0,0.025
2025-08-04 01:06:05,239.5,0.0,0.0,0.025
2025-08-04 01:06:06,239.5,0.0,0.0,0.025
2025-08-04 01:06:07,239.5,0.0,0.0,0.025
2025-08-04 01:06:08,239.5,0.0,0.0,0.025
2025-08-04 01:06:11,239.5,0.0,0.0,0.025
2025-08-04 01:06:11,239.5,0.0,0.0,0.025
2025-08-04 01:06:11,239.5,0.0,0.0,0.025
2025-08-04 01:06:12,239.5,0.0,0.0,0.025
2025-08-04 01:06:13,239.5,0.0,0.0,0.025
2025-08-04 01:06:14,239.5,0.0,0.0,0.025
2025-08-04 01:06:15,239.5,0.0,0.0,0.025
2025-08-04 01:06:45,239.5,0.0,0.0,0.025
2025-08-04 01:06:45,239.5,0.0,0.0,0.025
2025-08-04 01:06:53,239.5,0.0,0.0,0.025
2025-08-04 01:06:53,239.5,0.0,0.0,0.025
2025-08-04 01:06:55,239.5,0.0,0.0,0.025
2025-08-04 01:06:56,239.5,0.0,0.0,0.025
2025-08-04 01:06:57,239.5,0.0,0.0,0.025
2025-08-04 01:06:58,239.5,0.0,0.0,0.025
2025-08-04 01:06:59,239.5,0.0,0.0,0.025
2025-08-04 01:07:03,239.5,0.0,0.0,0.025
2025-08-04 01:07:03,239.5,0.0,0.0,0.025
2025-08-04 01:07:04,239.5,0.0,0.0,0.025
2025-08-04 01:07:04,239.5,0.0,0.0,0.025
2025-08-04 01:07:04,239.5,0.0,0.0,0.025
2025-08-04 01:07:05,239.5,0.0,0.0,0.025
2025-08-04 01:07:06,239.5,0.0,0.0,0.025
2025-08-04 01:07:07,239.5,0.0,0.0,0.025
2025-08-04 01:07:08,239.5,0.0,0.0,0.025
2025-08-04 01:07:11,239.5,0.0,0.0,0.025
2025-08-04 01:07:11,239.5,0.0,0.0,0.025
2025-08-04 01:07:12,239.5,0.0,0.0,0.025
2025-08-04 01:07:12,239.5,0.0,0.0,0.025
2025-08-04 01:07:13,239.5,0.0,0.0,0.025
2025-08-04 01:07:14,239.5,0.0,0.0,0.025
2025-08-04 01:07:15,239.5,0.0,0.0,0.025
2025-08-04 01:07:16,239.5,0.0,0.0,0.025
2025-08-04 01:07:17,239.5,0.0,0.0,0.025
2025-08-04 01:07:18,239.5,0.0,0.0,0.025
2025-08-04 01:07:19,239.5,0.0,0.0,0.025
2025-08-04 01:07:20,239.5,0.0,0.0,0.025
2025-08-04 01:07:21,239.5,0.0,0.0,0.025
2025-08-04 01:07:22,239.5,0.0,0.0,0.025
2025-08-04 01:07:23,239.5,0.0,0.0,0.025
2025-08-04 01:07:24,239.5,0.0,0.0,0.025
2025-08-04 01:07:25,239.5,0.0,0.0,0.025
2025-08-04 01:07:26,239.5,0.0,0.0,0.025
2025-08-04 01:07:27,239.5,0.0,0.0,0.025
2025-08-04 01:07:28,239.5,0.0,0.0,0.025
2025-08-04 01:07:29,239.5,0.0,0.0,0.025
2025-08-04 01:07:30,239.5,0.0,0.0,0.025
2025-08-04 01:07:31,239.5,0.0,0.0,0.025
2025-08-04 01:07:32,239.5,0.0,0.0,0.025
2025-08-04 01:07:33,239.5,0.0,0.0,0.025
2025-08-04 01:07:34,239.5,0.0,0.0,0.025
2025-08-04 01:07:35,239.5,0.0,0.0,0.025
2025-08-04 01:07:36,239.5,0.0,0.0,0.025
2025-08-04 01:07:37,239.5,0.0,0.0,0.025
2025-08-04 01:07:38,239.5,0.0,0.0,0.025
2025-08-04 01:07:41,239.5,0.0,0.0,0.025
2025-08-04 01:07:41,239.5,0.0,0.0,0.025
2025-08-04 01:07:41,239.5,0.0,0.0,0.025
2025-08-04 01:07:42,239.5,0.0,0.0,0.025
2025-08-04 01:07:43,239.5,0.0,0.0,0.025
2025-08-04 01:07:44,239.5,0.0,0.0,0.025
2025-08-04 01:07:45,239.5,0.0,0.0,0.025
2025-08-04 01:07:45,239.5,0.0,0.0,0.025
2025-08-04 01:07:46,239.5,0.0,0.0,0.025
2025-08-04 01:07:48,239.5,0.0,0.0,0.025
2025-08-04 01:07:48,239.5,0.0,0.0,0.025
